Store Name,Primary Category Name,Secondary Category Name,Leaf Category Name,Product ID,Creation Date,Product Name,Product URL,SKU,Attribute Set,Visibility,Status(enable/disable)
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bannerbuzz.com.au/company-banners/p,BBVBBB06,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bannerbuzz.co.uk/company-banners/p,BBVBBB06,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bannerbuzz.ca/company-banners/p,BBVBBB06,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bannerbuzz.co.nz/company-banners/p,BBVBBB06,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bestofsigns.com/company-banners.html,BBVBBB06,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsor Banners,https://www.bannerbuzz.com/sponsor-banners/p,BBVBBB08,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsor Banners,https://www.bannerbuzz.com.au/sponsor-banners/p,BBVBBB08,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsorship Banners,https://www.bannerbuzz.co.uk/sponsor-banners/p,BBVBBB08,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsor Banners,https://www.bannerbuzz.ca/sponsor-banners/p,BBVBBB08,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsor Banners,https://www.bannerbuzz.co.nz/sponsor-banners/p,BBVBBB08,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,410",17-02-2019 08:31,Sponsor Banners,https://www.bestofsigns.com/sponsor-banners.html,BBVBBB08,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bannerbuzz.com/restaurant-banners/p,BBVBBB09,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bannerbuzz.com.au/restaurant-banners/p,BBVBBB09,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bannerbuzz.co.uk/restaurant-banners/p,BBVBBB09,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bannerbuzz.ca/restaurant-banners/p,BBVBBB09,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bannerbuzz.co.nz/restaurant-banners/p,BBVBBB09,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,411",17-02-2019 08:31,Restaurant Banners,https://www.bestofsigns.com/restaurant-banners.html,BBVBBB09,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,Art Music & Entertainment Banners,https://www.bannerbuzz.com/art-music-entertainment-banners/p,BBVBCB08,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,Art Music & Entertainment Banners,https://www.bannerbuzz.com.au/art-music-entertainment-banners/p,BBVBCB08,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,"Art, Music & Entertainment Banners",https://www.bannerbuzz.co.uk/art-music-entertainment-banners/p,BBVBCB08,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,Art Music & Entertainment Banners,https://www.bannerbuzz.ca/art-music-entertainment-banners/p,BBVBCB08,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,Art Music & Entertainment Banners,https://www.bannerbuzz.co.nz/art-music-entertainment-banners/p,BBVBCB08,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,412",17-02-2019 08:31,Art Music & Entertainment Banners,https://www.bestofsigns.com/art-music-entertainment-banners.html,BBVBCB08,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Automotive Transportation Banners,https://www.bannerbuzz.com/automotive-transportation-banners/p,BBVBCB09,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Automotive Transportation Banners,https://www.bannerbuzz.com.au/automotive-transportation-banners/p,BBVBCB09,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Transport Banners,https://www.bannerbuzz.co.uk/automotive-transportation-banners/p,BBVBCB09,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Automotive Transportation Banners,https://www.bannerbuzz.ca/automotive-transportation-banners/p,BBVBCB09,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Automotive Transportation Banners,https://www.bannerbuzz.co.nz/automotive-transportation-banners/p,BBVBCB09,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,413",17-02-2019 08:31,Automotive Transportation Banners,https://www.bestofsigns.com/automotive-transportation-banners.html,BBVBCB09,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Birthday Banners,https://www.bannerbuzz.com/birthday-banners/p,BBRMBB01,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Event Banners,"4,65,414",17-02-2019 08:31,Birthday Banners,https://www.bannerbuzz.com.au/birthday-banners/p,BBRMBB01,Default,"Catalog, Search",Enable
